,MDS-UPDRS Prediction target,Feature,Type,Best performing model,Best performing parcellation,R2,RMSE,AUC,PPV,NPV,Spec.,Sens.
0,Baseline,ReHo,Workflow D,ElasticNet,BASC444,0.069,15.46,0.64,55.6%,71.7%,67.3%,60.6%
0,Baseline,ReHo,Workflow D,ElasticNet,Schaefer,0.094,15.25,0.681,62.5%,74.0%,75.5%,60.6%
0,Baseline,ReHo,Workflow D,Gradient Boosting,BASC197,0.026,15.82,0.61,58.3%,67.2%,79.6%,42.4%
0,Baseline,ReHo,Workflow D,Gradient Boosting,BASC444,-0.013,16.12,0.61,55.2%,67.9%,73.5%,48.5%
0,Baseline,ReHo,Workflow D,Gradient Boosting,Schaefer,-0.007,16.08,0.651,64.0%,70.2%,81.6%,48.5%
0,Baseline,ReHo,Workflow D,SVM,BASC197,-0.598,20.25,0.469,0.0%,58.2%,93.9%,0.0%
0,Baseline,ReHo,Workflow D,SVM,BASC444,-0.975,22.51,0.433,21.4%,55.9%,77.6%,9.1%
0,Baseline,ReHo,Workflow D,SVM,Schaefer,-0.5,19.62,0.59,62.5%,65.2%,87.8%,30.3%
0,Baseline,ReHo,Workflow D,Random Forest,BASC197,0.025,15.82,0.559,50.0%,63.8%,75.5%,36.4%
0,Baseline,ReHo,Workflow D,Random Forest,BASC444,0.113,15.09,0.656,63.0%,70.9%,79.6%,51.5%
0,Baseline,ReHo,Workflow D,Random Forest,Schaefer,0.036,15.73,0.615,54.8%,68.6%,71.4%,51.5%
0,Baseline,ReHo,Workflow E,ElasticNet,BASC197,0.01,15.94,0.564,48.4%,64.7%,67.3%,45.5%
0,Baseline,ReHo,Workflow E,ElasticNet,BASC444,0.089,15.29,0.635,55.9%,70.8%,69.4%,57.6%
0,Baseline,ReHo,Workflow E,ElasticNet,Schaefer,-0.029,16.25,0.423,25.0%,54.8%,69.4%,15.2%
0,Baseline,ReHo,Workflow E,Gradient Boosting,BASC197,-0.038,16.32,0.539,45.2%,62.7%,65.3%,42.4%
0,Baseline,ReHo,Workflow E,Gradient Boosting,BASC444,-0.135,17.07,0.462,36.1%,56.5%,53.1%,39.4%
0,Baseline,ReHo,Workflow E,Gradient Boosting,Schaefer,0.002,16.01,0.549,45.7%,63.8%,61.2%,48.5%
0,Baseline,ReHo,Workflow E,SVM,BASC197,-0.664,20.67,0.468,34.8%,57.6%,69.4%,24.2%
0,Baseline,ReHo,Workflow E,SVM,BASC444,-0.296,18.23,0.553,45.9%,64.4%,59.2%,51.5%
0,Baseline,ReHo,Workflow E,SVM,Schaefer,-1.14,23.44,0.428,16.7%,55.7%,79.6%,6.1%
0,Baseline,ReHo,Workflow E,Random Forest,BASC197,-0.023,16.2,0.493,39.3%,59.3%,65.3%,33.3%
0,Baseline,ReHo,Workflow E,Random Forest,BASC444,-0.015,16.14,0.442,32.1%,55.6%,61.2%,27.3%
0,Baseline,ReHo,Workflow E,Random Forest,Schaefer,-0.069,16.56,0.473,36.7%,57.7%,61.2%,33.3%
0,Baseline,ReHo,Workflow F,ElasticNet,BASC197,0.119,15.04,0.666,65.4%,71.4%,81.6%,51.5%
0,Baseline,ReHo,Workflow F,ElasticNet,BASC444,0.132,14.92,0.656,63.0%,70.9%,79.6%,51.5%
0,Baseline,ReHo,Workflow F,ElasticNet,Schaefer,0.113,15.09,0.66,62.1%,71.7%,77.6%,54.5%
0,Baseline,ReHo,Workflow F,Gradient Boosting,BASC197,0.044,15.67,0.539,45.2%,62.7%,65.3%,42.4%
0,Baseline,ReHo,Workflow F,Gradient Boosting,BASC444,0.306,13.34,0.701,66.7%,75.0%,79.6%,60.6%
0,Baseline,ReHo,Workflow F,Gradient Boosting,Schaefer,0.327,13.14,0.802,74.3%,85.1%,81.6%,78.8%
0,Baseline,ReHo,Workflow F,SVM,BASC197,-0.672,20.72,0.514,43.8%,60.6%,81.6%,21.2%
0,Baseline,ReHo,Workflow F,SVM,BASC444,-0.653,20.6,0.535,50.0%,61.8%,85.7%,21.2%
0,Baseline,ReHo,Workflow F,SVM,Schaefer,-0.39,18.89,0.626,73.3%,67.2%,91.8%,33.3%
0,Baseline,ReHo,Workflow F,Random Forest,BASC197,0.116,15.06,0.575,55.0%,64.5%,81.6%,33.3%
0,Baseline,ReHo,Workflow F,Random Forest,BASC444,0.181,14.49,0.615,61.9%,67.2%,83.7%,39.4%
0,Baseline,ReHo,Workflow F,Random Forest,Schaefer,0.277,13.62,0.701,66.7%,75.0%,79.6%,60.6%
0,Baseline,ReHo,Workflow H,ElasticNet,BASC197,0.11,15.12,0.701,66.7%,75.0%,79.6%,60.6%
0,Baseline,ReHo,Workflow H,ElasticNet,BASC444,0.128,14.96,0.645,57.6%,71.4%,71.4%,57.6%
0,Baseline,ReHo,Workflow H,ElasticNet,Schaefer,0.095,15.24,0.655,59.4%,72.0%,73.5%,57.6%
0,Baseline,ReHo,Workflow H,Gradient Boosting,BASC197,-0.013,16.13,0.64,61.5%,69.6%,79.6%,48.5%
0,Baseline,ReHo,Workflow H,Gradient Boosting,BASC444,-0.001,16.03,0.64,61.5%,69.6%,79.6%,48.5%
0,Baseline,ReHo,Workflow H,Gradient Boosting,Schaefer,-0.021,16.19,0.564,48.4%,64.7%,67.3%,45.5%
0,Baseline,ReHo,Workflow H,SVM,BASC197,-0.909,22.13,0.459,22.2%,57.5%,85.7%,6.1%
0,Baseline,ReHo,Workflow H,SVM,BASC444,-0.672,20.71,0.549,48.0%,63.2%,73.5%,36.4%
0,Baseline,ReHo,Workflow H,SVM,Schaefer,-0.301,18.27,0.631,70.6%,67.7%,89.8%,36.4%
0,Baseline,ReHo,Workflow H,Random Forest,BASC197,0.038,15.72,0.58,54.5%,65.0%,79.6%,36.4%
0,Baseline,ReHo,Workflow H,Random Forest,BASC444,0.109,15.13,0.732,74.1%,76.4%,85.7%,60.6%
0,Baseline,ReHo,Workflow H,Random Forest,Schaefer,0.023,15.84,0.544,47.8%,62.7%,75.5%,33.3%
0,Baseline,ReHo,Workflow I,ElasticNet,BASC197,0.102,15.18,0.691,64.5%,74.5%,77.6%,60.6%
0,Baseline,ReHo,Workflow I,ElasticNet,BASC444,0.117,15.05,0.635,55.9%,70.8%,69.4%,57.6%
0,Baseline,ReHo,Workflow I,ElasticNet,Schaefer,0.086,15.32,0.64,58.1%,70.6%,73.5%,54.5%
0,Baseline,ReHo,Workflow I,Gradient Boosting,BASC197,-0.013,16.13,0.64,61.5%,69.6%,79.6%,48.5%
0,Baseline,ReHo,Workflow I,Gradient Boosting,BASC444,-0.001,16.03,0.64,61.5%,69.6%,79.6%,48.5%
